Drug_Name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
DB00114,2.135873299,-1.775705661,1.854836744,-0.632747362,0.104300445,0.606309799,-0.367294592,0.566654572,0.039934241,0.294267782,-0.387461172,-0.465232624,-0.530219721,-0.01617537,0.3280543,-0.071945681,-0.175780003,0.251821147,0.337977119,-0.115120751,-0.06404588,0.042601378,-0.432553186,0.177796046,-0.182017097,-0.223932557,0.177006004,-0.01917661,0.293340917,-0.044009516,0.199041319,-0.19280782,-0.051592601,-0.041029753,-0.142004318,-0.046154798,0.020791925,-0.001037103,0.211933972,0.30422651,0.266758135,-0.064153713,-0.166960138,0.027530083,0.120940696,-0.115969942,0.176281965,0.005880482,0.06941955,0.324394737
DB00115,3.786494209,3.503541255,-0.986964941,1.160905226,-0.033711206,1.663814617,-0.581147057,-0.132656382,0.629891169,-0.597527796,-0.123246622,0.074549635,-0.103617631,-0.335094823,0.026737813,0.32056994,-0.182658926,0.033617546,-0.510786797,-0.131700361,0.297364656,0.114771487,0.051497949,0.054668974,0.043952506,-0.0006757,0.035668735,0.175414133,0.045403623,-0.117072681,0.206409449,-0.132751035,0.05997981,0.092320775,-0.024074621,-0.092654238,0.205877474,0.060916047,-0.050016734,0.018584704,-0.050963937,0.058393037,0.186417591,-0.046247481,0.022577546,-0.100351787,0.096250996,-0.095922125,-0.040763796,-0.174584525
DB00117,2.853653058,-2.699488575,2.438499866,-0.757295928,-0.903531493,0.73441976,0.139694286,-0.695324724,0.513285956,-0.112383791,-0.660321673,0.104678826,0.659715957,0.06211697,-0.362078193,-0.367041292,0.159399393,0.185293176,0.131367351,0.086426559,0.604757671,-0.198609779,0.037403238,-0.186049329,0.149103467,-0.14833301,-0.114604485,-0.022644562,-0.021810976,-0.210048556,-0.078866614,-0.233102776,-0.069283824,-0.15202029,0.082803623,0.033320879,-0.009384604,0.129616854,-0.358945719,0.115729569,-0.017270227,-0.27679406,-0.104230814,0.000157887,0.163896191,-0.087393544,0.01980529,0.020139837,0.003563262,0.109144893
DB00118,-0.943674263,0.475432094,1.989050703,-0.1707354,-0.736349669,0.566116439,-0.533411822,0.747664714,-0.408521883,-0.262287919,0.38252804,-0.053504606,0.688522862,0.251934631,0.015533487,0.333858333,0.190318481,0.548246144,0.449722491,-0.12380693,0.378186587,-0.127230196,-0.049686941,-0.082452458,0.603899859,-0.179185046,-0.022415626,0.00958069,-0.018727127,-0.072143332,0.134880769,-0.250782114,0.287801688,-0.034088417,-0.163669073,-0.166148942,-0.164831953,0.077344288,0.097952283,0.045222916,0.039683272,0.135736087,0.17866655,0.006353986,0.05262654,-0.019260763,-0.032171495,-0.059807482,0.076728883,-0.097319549
DB00119,6.847749863,-1.244660799,1.955087282,-0.604953813,0.435730975,0.226800573,0.928907574,-1.575740495,-0.268761122,0.512422335,-0.098482843,-0.433430425,-0.870105675,0.195711515,-0.148421651,0.696310925,-0.256768755,0.492721212,0.031728792,-0.005337641,-0.285765722,-0.066315942,0.122162989,-0.036458294,0.029435227,-0.109779197,0.070790081,0.123783421,0.067507412,-0.099456485,-0.040206934,-0.240734969,0.240117096,-0.063398461,-0.146991964,0.044621189,-0.009103778,-0.054374381,0.074957532,0.042463547,-0.13811341,0.020353405,-0.082505208,-0.012896705,-0.012945929,0.051409626,-0.175870322,-0.006459036,0.048231123,-0.088351634
DB00120,-1.205037088,-4.244991321,1.184945757,-0.114962587,-1.214270103,0.740260358,1.393894223,-0.578931643,0.822548334,-0.300315242,0.087189402,0.511326664,0.659981712,-0.241114567,-0.269980945,-0.131396534,0.137583513,-0.203643867,0.257366716,-0.169343866,0.675202685,-0.09667603,0.160867751,-0.001644165,-0.316541036,0.087121809,-0.17225922,-0.064980673,-0.128843168,-0.195578983,-0.091519758,-0.083308707,-0.038519749,0.018013723,0.018940151,-0.008503462,0.096092883,0.204719454,-0.209333474,0.185362294,-0.086743809,-0.050374469,-0.073703626,0.025019208,0.107502344,-0.061846846,-0.012445494,-0.025564858,0.125032404,0.076520509
DB00121,0.883395847,0.443478497,2.44400895,-0.344704447,-1.466086615,-0.383630995,-0.647034538,-0.115817094,-0.201136482,-0.521636432,0.709115934,-0.430402757,-0.283520419,-0.18862341,-0.265207655,-0.200785533,-0.183442591,-0.300079704,-0.342225286,0.053891768,-0.059816669,-0.43671277,0.103684304,-0.213127068,0.159792051,-0.044191317,-0.363335491,0.003311127,-0.226780871,-0.209971455,-0.022835901,0.097358895,0.037284536,0.108838132,-0.038728164,0.182415471,0.039348066,0.078760572,0.047954017,-0.208850654,0.000475428,-0.125120359,-0.053272432,0.1136229,-0.117633032,-0.057125692,0.043749831,-0.036221455,-0.12266529,-0.080158061
DB00122,0.622159065,-0.436438086,3.393016228,0.436858337,1.248245392,-1.020192714,0.486550562,0.691526239,0.099828323,-0.670636579,-0.713235824,-0.478215111,-0.319879748,0.045826761,-0.035420039,0.152194213,-0.419560878,-0.257612763,-0.231308743,-0.123770599,-0.019493204,0.097876444,-0.196872,0.614476105,-0.141151102,0.316042356,-0.254584423,-0.306683497,-0.35557464,-0.035832412,-0.047970988,-0.012680446,0.057456281,-0.007217197,0.110642005,-0.146785246,0.027537152,-0.334057494,0.030778507,-0.281344098,-0.064707328,-0.113514566,0.058668129,-0.127038471,-0.235590771,-0.040666815,0.007254159,0.092750167,0.124460275,-0.091390193
DB00123,2.136798501,-1.06525938,3.708431444,0.924780973,-1.796775953,-0.459211683,-0.063300306,-0.519707446,0.097612384,-0.472696422,-0.379367562,0.124705084,0.569588608,0.4841839,-0.310626668,-0.008730299,0.136691851,-0.378450051,-0.179652141,-0.240852733,0.416684397,-0.314686566,0.374013937,-0.190618221,-0.091450276,-0.029600906,-0.287090006,-0.06003049,-0.351191671,-0.148136496,0.17795309,-0.060983361,0.067290908,0.300411932,-0.054028354,-0.157499215,-0.034182071,0.07797462,-0.113101932,-0.128166158,0.048636285,-0.121874146,-0.034424861,0.004668172,0.104651511,-0.101856073,0.008264294,-0.067406122,0.068703079,0.048596124
DB00125,2.361191422,-1.160562721,3.404398545,0.712016053,-1.528934829,-0.21175111,0.002210534,-0.687237448,-0.223554638,-0.561917651,-0.363432293,0.44041691,0.749708862,0.524489543,-0.232758974,0.027168348,-0.051265777,-0.354403334,-0.181089095,-0.092733661,0.167912379,-0.170315277,0.3635147,-0.050648374,-0.083886497,0.040450212,-0.371752565,-0.101267399,-0.115891026,-0.064690987,0.075707274,-0.115721018,0.069648532,0.219275214,0.17620478,-0.215229818,-0.103983847,0.087260162,-0.027578811,-0.010101097,0.107678234,-0.142847945,-0.093992005,-0.014043797,0.166348669,-0.001978477,-0.063951266,-0.119360474,0.107578938,-0.047154956
